row_id,cgid,label,description,mimic_id
2228,16174,RO,Read Only,93476
2229,16175,RO,Read Only,93477
2230,16176,Res,Resident/Fellow/PA/NP,93478
2231,16177,RO,Read Only,93479
2232,16178,RT,Respiratory,93480
2233,16179,Res,Resident/Fellow/PA/NP,93481
2234,16180,Rehab,Rehabilitation,93482
2235,16181,MD,,93483
2236,16182,CM,Case Manager,93484
2237,16183,Rehab,Rehabilitation,93485
2238,16184,RN,RN,93486
2239,16185,MD,Attending,93487
2240,16186,RN,RN,93488
2241,16187,RN,RN,93489
2242,16188,SW,Social Worker,93490
2243,16189,RO,Read Only,93491
2244,16190,RO,Read Only,93492
2245,16191,MD,,93493
2246,16192,RO,Read Only,93494
2247,16193,Res,Resident/Fellow/PA/NP,93495
2248,16194,Res,Resident/Fellow/PA/NP,93496
2249,16195,RO,Read Only,93497
2250,16196,RPH,Pharmacist,93498
2251,16197,CM,Case Manager,93499
2252,16198,MDs,Resident/Fellow/PA/NP,93500
2253,16199,MD,,93501
2254,16200,RN,RN,93502
2255,16201,Res,Resident/Fellow/PA/NP,93503
2256,16202,NP,Read Only,93504
2257,16203,RO,Read Only,93505
2258,16204,Res,Resident/Fellow/PA/NP,93506
2259,16205,RO,Read Only,93507
2260,16206,MD,,93508
2261,16207,MD,,93509
2262,16208,MD,,93510
2263,16209,Res,Read Only,93511
2264,16210,RO,Read Only,93512
2265,16211,RPh,Pharmacist,93513
2266,16212,RO,Read Only,93514
2267,16213,Rehab,Rehabilitation,93515
2268,16214,Res,Resident/Fellow/PA/NP,93516
2269,16215,MD,Attending,93517
2270,16216,Res,Resident/Fellow/PA/NP,93518
2271,16217,CM,Case Manager,93519
2272,16218,SRT,,93520
2273,16219,Res,Resident/Fellow/PA/NP,93521
2274,16220,MD,Attending,93522
2275,16221,RO,Read Only,93523
2276,16222,Res,Resident/Fellow/PA/NP,93524
2277,16223,RD,Dietitian,93525
2278,16224,PCT,PCT/NA,93526
2279,16225,MD,,93527
2280,16226,Res,Resident/Fellow/PA/NP,93528
2281,16227,RD,Dietitian,93529
2282,16228,Res,Resident/Fellow/PA/NP,93530
2283,16229,RN,RN,93531
2284,16230,MD,,93532
2285,16231,RO,Read Only,93533
2286,16232,RO,Read Only,93534
2287,16233,CM,Case Manager,93535
2288,16234,RN,RN,93536
2289,16235,MD,,93537
2290,16236,CoWork,PCT/NA,93538
2291,16237,MD,Attending,93539
2292,16238,Res,Resident/Fellow/PA/NP,93540
2293,16239,Res,Resident/Fellow/PA/NP,93541
2294,16240,Admin,Administrator,93542
2295,16241,Res,Resident/Fellow/PA/NP,93543
2296,16242,RO,Read Only,93544
2297,16243,Res,Resident/Fellow/PA/NP,93545
2298,16244,RO,Read Only,93546
2299,16245,Res,Resident/Fellow/PA/NP,93547
2300,16246,RN,RN,93548
2301,16247,Res,Resident/Fellow/PA/NP,93549
2302,16248,PCT,PCT/NA,93550
2303,16249,CoWker,,93551
2304,16250,MD,Read Only,93552
2305,16251,Res,Resident/Fellow/PA/NP,93553
2306,16252,UCO,,93554
2307,16253,MD,,93555
2308,16254,PC,Pastoral Care,93556
2309,16255,RO,Read Only,93557
2310,16256,Rehab,Rehabilitation,93558
2311,16257,MD,Attending,93559
2312,16258,Res,Resident/Fellow/PA/NP,93560
2313,16259,Res,Resident/Fellow/PA/NP,93561
2314,16260,Res,Resident/Fellow/PA/NP,93562
2315,16261,RO,Read Only,93563
2316,16262,Res,Resident/Fellow/PA/NP,93564
2317,16263,Res,Resident/Fellow/PA/NP,93565
2318,16264,RN,RN,93566
2319,16265,RO,Read Only,93567
2320,16266,RPH,Pharmacist,93568
2321,16267,CM,Case Manager,93569
2322,16268,co-wor,PCT/NA,93570
2323,16269,Res,Resident/Fellow/PA/NP,93571
2324,16270,Res,Resident/Fellow/PA/NP,93572
2325,16271,Res,Resident/Fellow/PA/NP,93573
2326,16272,Res,Resident/Fellow/PA/NP,93574
2327,16273,RN,RN,93575
2328,16274,RRT,,93576
2329,16275,RO,Read Only,93577
2330,16276,MD,Resident/Fellow/PA/NP,93578
2331,16277,MD,,93579
2332,16278,MD,,93580
2333,16279,MD,Resident/Fellow/PA/NP,93581
2334,16280,MDs,Resident/Fellow/PA/NP,93582
2335,16281,MDs,,93583
2336,16282,Res,Resident/Fellow/PA/NP,93584
2337,16283,Res,Resident/Fellow/PA/NP,93585
2338,16284,RN,RN,93586
2339,16285,SW,Social Worker,93587
2340,16286,MS,,93588
2341,16287,MDs,Read Only,93589
2342,16288,RN,,93590
2343,16289,Res,Resident/Fellow/PA/NP,93591
2344,16290,RO,Read Only,93592
2345,16291,RO,Read Only,93593
2346,16292,RO,Read Only,93594
2347,16293,MD,Resident/Fellow/PA/NP,93595
2348,16294,RN,RN,93596
2349,16295,Rehab,Rehabilitation,93597
2350,16296,RO,Read Only,93598
2351,16297,RTH,Respiratory,93599
2352,16298,RO,Read Only,93600
891,14891,RN,RN,93601
892,14892,MD,Read Only,93602
893,14893,Res,Resident/Fellow/PA/NP,93603
894,14894,Res,Resident/Fellow/PA/NP,93604
895,14895,Res,Resident/Fellow/PA/NP,93605
896,14896,MD,,93606
897,14897,Res,Resident/Fellow/PA/NP,93607
898,14898,MD,Attending,93608
899,14899,RT,Respiratory,93609
900,14900,MD,Attending,93610
901,14901,RN,RN,93611
902,14902,Res,Resident/Fellow/PA/NP,93612
903,14903,Res,Resident/Fellow/PA/NP,93613
904,14904,RN,RN,93614
905,14905,MD,,93615
906,14906,RN,RN,93616
907,14907,Res,Resident/Fellow/PA/NP,93617
908,14908,RO,Read Only,93618
909,14909,Res,Resident/Fellow/PA/NP,93619
910,14910,Res,Resident/Fellow/PA/NP,93620
911,14911,MD,Attending,93621
912,14912,MD,Attending,93622
913,14913,RT,Respiratory,93623
914,14914,Res,Resident/Fellow/PA/NP,93624
915,14915,Res,Resident/Fellow/PA/NP,93625
916,14916,RT,Respiratory,93626
917,14917,Res,Resident/Fellow/PA/NP,93627
918,14918,DI,,93628
919,14919,MD,Attending,93629
920,14920,Res,Resident/Fellow/PA/NP,93630
921,14921,MS,,93631
922,14922,RN,RN,93632
923,14923,Rehab,Rehabilitation,93633
924,14924,Res,Resident/Fellow/PA/NP,93634
925,14925,MD,,93635
926,14926,SNP,,93636
927,14927,RN,,93637
928,14928,RO,Read Only,93638
929,14929,RO,Read Only,93639
930,14930,MD,Read Only,93640
931,14931,RO,Read Only,93641
932,14932,RO,Read Only,93642
933,14933,Res,Resident/Fellow/PA/NP,93643
934,14934,RN,RN,93644
935,14935,MD,Attending,93645
936,14936,RO,Read Only,93646
937,14937,RO,Read Only,93647
938,14938,ISOPS,Administrator,93648
939,14939,RN,RN,93649
940,14940,MD,,93650
941,14941,RO,Read Only,93651
942,14942,RO,Read Only,93652
943,14943,MD,,93653
944,14944,MD,,93654
945,14945,MD,Attending,93655
946,14946,RN,RN,93656
947,14947,Res,Resident/Fellow/PA/NP,93657
948,14948,RRT,Read Only,93658
949,14949,RN,RN,93659
950,14950,MD,,93660
951,14951,SRT,,93661
952,14952,Res,Resident/Fellow/PA/NP,93662
953,14953,RN,RN,93663
954,14954,RN,RN,93664
955,14955,Admin,Administrator,93665
956,14956,Res,Resident/Fellow/PA/NP,93666
957,14957,RN,Read Only,93667
958,14958,MD,,93668
959,14959,RO,Read Only,93669
960,14960,RO,Read Only,93670
961,14961,Res,Resident/Fellow/PA/NP,93671
962,14962,RN,,93672
963,14963,Res,Resident/Fellow/PA/NP,93673
964,14964,MD,,93674
965,14965,Rehab,Rehabilitation,93675
966,14966,RO,Read Only,93676
967,14967,RN,,93677
968,14968,RN,Read Only,93678
969,14969,RO,Read Only,93679
970,14970,CoWker,,93680
971,14971,RN,,93681
972,14972,MD,,93682
973,14973,RN,RN,93683
974,14974,RO,Read Only,93684
975,14975,RO,Read Only,93685
976,14976,Med ST,,93686
977,14977,PCT,PCT/NA,93687
978,14978,MD,,93688
979,14979,ISSupp,Administrator,93689
980,14980,RO,Read Only,93690
981,14981,RO,Read Only,93691
982,14982,RO,Read Only,93692
983,14983,RPH,Pharmacist,93693
984,14984,RO,Read Only,93694
985,14985,RN,RN,93695
986,14986,RN,RN,93696
987,14987,RN,RN,93697
988,14988,RN,RN,93698
989,14989,RN,,93699
990,14990,RN,,93700
991,14991,CoWkr,,93701
992,14992,RN,RN,93702
993,14993,RN,,93703
994,14994,CoWker,,93704
995,14995,RO,Read Only,93705
996,14996,RN,,93706
997,14997,RN,RN,93707
998,14998,RN,,93708
999,14999,MD,,93709
1000,15000,RO,Read Only,93710
1001,15001,RN,RN,93711
1002,15002,RNC,,93712
1003,15003,MD,,93713
1004,15004,RN,RN,93714
1005,15005,PCA,,93715
1006,15006,RO,Read Only,93716
1007,15007,MD,Read Only,93717
1008,15008,MD,,93718
1009,15009,HMSIV,,93719
1010,15010,MedSty,,93720
1011,15011,MD,,93721
1012,15012,RRT,Respiratory,93722
1013,15013,UA,,93723
1014,15014,PCT,RN,93724
1015,15015,RO,Read Only,93725
1016,15016,UC,,93726
1017,15017,RN,RN,93727
1018,15018,RN,Read Only,93728
1019,15019,RRT,,93729
1020,15020,RN,Read Only,93730
1021,15021,RA,Research Assistant,93731
1022,15022,Res,Resident/Fellow/PA/NP,93732
1023,15023,RN,RN,93733
1024,15024,RN,,93734
1025,15025,RN,RN,93735
1026,15026,RO,Read Only,93736
1027,15027,RN,,93737
1028,15028,RO,Read Only,93738
1029,15029,RN,RN,93739
1030,15030,Res,Resident/Fellow/PA/NP,93740
1031,15031,RT,Respiratory,93741
623,14554,MDs,Resident/Fellow/PA/NP,93742
624,14555,CoWkr,,93743
625,14556,RO,Read Only,93744
626,14557,RO,Read Only,93745
627,14558,MD,,93746
628,14559,RPh,,93747
629,14560,Res,Resident/Fellow/PA/NP,93748
630,14561,PCT,PCT/NA,93749
631,14562,RN,,93750
632,14563,Rehab,Rehabilitation,93751
633,14564,RO,Read Only,93752
634,14565,RN,RN,93753
635,14566,Rehab,Rehabilitation,93754
636,14567,MD,Attending,93755
637,14568,Res,Resident/Fellow/PA/NP,93756
638,14569,RO,Read Only,93757
639,14570,Res,Resident/Fellow/PA/NP,93758
640,14571,PCT,PCT/NA,93759
641,14572,Res,Resident/Fellow/PA/NP,93760
642,14573,MD,Attending,93761
643,14574,Res,Resident/Fellow/PA/NP,93762
644,14575,Res,Resident/Fellow/PA/NP,93763
645,14576,RN,RN,93764
646,14577,Res,Resident/Fellow/PA/NP,93765
647,14578,MD,Attending,93766
648,14579,RO,Read Only,93767
649,14580,Res,Resident/Fellow/PA/NP,93768
650,14581,MD,,93769
651,14582,Res,Resident/Fellow/PA/NP,93770
652,14583,RO,Read Only,93771
653,14584,RN,RN,93772
654,14585,Res,Resident/Fellow/PA/NP,93773
655,14586,MD,,93774
656,14587,Res,Resident/Fellow/PA/NP,93775
657,14588,RN,RN,93776
658,14589,RO,Read Only,93777
659,14590,RO,Read Only,93778
660,14591,RO,Read Only,93779
661,14592,UCO,UCO,93780
662,14593,MD,,93781
663,14594,Res,Resident/Fellow/PA/NP,93782
664,14595,Res,Resident/Fellow/PA/NP,93783
665,14596,RO,Read Only,93784
666,14597,RN,RN,93785
667,14598,RNC,Read Only,93786
668,14599,RO,Read Only,93787
669,14600,RN,,93788
670,14601,RO,Read Only,93789
671,14602,MDs,Resident/Fellow/PA/NP,93790
672,14603,NEOB,UCO,93791
673,14604,RN,,93792
674,14605,RN,RN,93793
675,14606,RN,RN,93794
676,14607,RN,RN,93795
677,14608,RN,,93796
678,14609,RN,,93797
679,14610,RO,Read Only,93798
680,14611,Res,Resident/Fellow/PA/NP,93799
681,14612,RT,Respiratory,93800
682,14613,MD,Read Only,93801
683,14614,Res,Resident/Fellow/PA/NP,93802
684,14615,Res,Resident/Fellow/PA/NP,93803
685,14616,Res,Resident/Fellow/PA/NP,93804
686,14617,Rehab,Rehabilitation,93805
687,14618,Res,Resident/Fellow/PA/NP,93806
688,14619,Res,Resident/Fellow/PA/NP,93807
689,14620,MD,Attending,93808
690,14621,RD,Dietitian,93809
691,14622,UCO,UCO,93810
692,14623,CM,Case Manager,93811
693,14624,Res,Resident/Fellow/PA/NP,93812
694,14625,Rn,RN,93813
695,14626,RN,RN,93814
696,14627,ISSupp,Administrator,93815
697,14628,RO,Read Only,93816
698,14629,MD,Resident/Fellow/PA/NP,93817
699,14630,RRts,,93818
700,14631,PCT,PCT/NA,93819
701,14632,RPH,Pharmacist,93820
702,14633,RO,Read Only,93821
703,14634,RO,Read Only,93822
704,14635,RT,Respiratory,93823
705,14636,RO,Read Only,93824
706,14637,MD,Attending,93825
707,14638,RN,RN,93826
708,14639,Res,Resident/Fellow/PA/NP,93827
709,14640,RN,RN,93828
710,14641,Rehab,Rehabilitation,93829
711,14642,RT,Respiratory,93830
712,14643,Res,Resident/Fellow/PA/NP,93831
713,14644,Res,Resident/Fellow/PA/NP,93832
714,14645,RD,Dietitian,93833
715,14646,Res,Resident/Fellow/PA/NP,93834
716,14647,Rehab,Rehabilitation,93835
717,14648,Res,Resident/Fellow/PA/NP,93836
718,14649,Res,Resident/Fellow/PA/NP,93837
719,14650,PCT,PCT/NA,93838
720,14651,Res,Resident/Fellow/PA/NP,93839
721,14652,Res,Resident/Fellow/PA/NP,93840
722,14653,RO,Read Only,93841
723,14654,Res,Resident/Fellow/PA/NP,93842
724,14655,RT,Respiratory,93843
725,14656,Res,Resident/Fellow/PA/NP,93844
726,14657,RN,RN,93845
727,14658,RN,,93846
728,14659,MD,Attending,93847
729,14660,RO,Read Only,93848
730,14661,RO,Read Only,93849
731,14662,MDs,Resident/Fellow/PA/NP,93850
732,14663,MD,,93851
733,14664,MD,Read Only,93852
734,14665,MD,,93853
735,14666,Res,Resident/Fellow/PA/NP,93854
736,14667,MD,Read Only,93855
737,14668,RO,Read Only,93856
738,14669,RO,Read Only,93857
739,14670,MD,,93858
740,14671,RO,Read Only,93859
741,14672,RO,Read Only,93860
742,14673,MDs,Resident/Fellow/PA/NP,93861
743,14674,Studen,,93862
744,14675,MDs,Resident/Fellow/PA/NP,93863
745,14676,Res,Resident/Fellow/PA/NP,93864
746,14677,Res,Resident/Fellow/PA/NP,93865
747,14678,RN,RN,93866
748,14679,Res,Resident/Fellow/PA/NP,93867
749,14680,MD,Resident/Fellow/PA/NP,93868
750,14681,Res,Resident/Fellow/PA/NP,93869
751,14682,Res,Resident/Fellow/PA/NP,93870
752,14683,RN,RN,93871
753,14684,Res,Resident/Fellow/PA/NP,93872
754,14685,Res,Resident/Fellow/PA/NP,93873
288,14686,Res,Resident/Fellow/PA/NP,93874
289,14687,SW,Social Worker,93875
290,14688,Rehab,Rehabilitation,93876
291,14689,UCO,UCO,93877
292,14690,Res,Resident/Fellow/PA/NP,93878
293,14691,Res,Resident/Fellow/PA/NP,93879
294,14692,Rehab,Rehabilitation,93880
295,14693,MD,Attending,93881
296,14694,RO,Read Only,93882
297,14695,RN,RN,93883
298,14696,RO,Read Only,93884
299,14697,MD,,93885
300,14698,RO,Read Only,93886
301,14699,RO,Read Only,93887
302,14700,RRT,Respiratory,93888
303,14701,NP,,93889
304,14702,MD,,93890
305,14703,Res,Resident/Fellow/PA/NP,93891
306,14704,Res,Resident/Fellow/PA/NP,93892
307,14705,RO,Read Only,93893
308,14706,RN,RN,93894
309,14707,Rehab,Rehabilitation,93895
310,14708,MD,Read Only,93896
311,14709,Res,Resident/Fellow/PA/NP,93897
312,14710,RN,RN,93898
313,14711,RO,Read Only,93899
314,14712,RN,,93900
315,14713,RO,Read Only,93901
316,14714,RN,RN,93902
317,14715,MD,,93903
318,14716,RN,,93904
319,14717,RN,,93905
320,14718,MDs,Resident/Fellow/PA/NP,93906
321,14719,RN,RN,93907
322,14720,LICSW,,93908
323,14721,RN,Read Only,93909
324,14722,MD,Read Only,93910
325,14723,U A,,93911
326,14724,RO,Read Only,93912
327,14725,RN,,93913
328,14726,RN,,93914
329,14727,Res,Resident/Fellow/PA/NP,93915
330,14728,Res,Resident/Fellow/PA/NP,93916
331,14729,Res,Resident/Fellow/PA/NP,93917
332,14730,MD,,93918
333,14731,Res,Resident/Fellow/PA/NP,93919
334,14732,RD,Dietitian,93920
335,14733,MD,,93921
336,14734,StPHa,,93922
337,14735,Res,Resident/Fellow/PA/NP,93923
338,14736,RN,RN,93924
339,14737,Res,Resident/Fellow/PA/NP,93925
340,14738,RPH,Pharmacist,93926
341,14739,MD,Resident/Fellow/PA/NP,93927
342,14740,RN,,93928
343,14741,MS,,93929
344,14742,RO,Read Only,93930
345,14743,RRT,,93931
346,14744,Rehab,Rehabilitation,93932
347,14745,Res,Resident/Fellow/PA/NP,93933
348,14746,RO,Read Only,93934
349,14747,Res,Resident/Fellow/PA/NP,93935
350,14748,RO,Read Only,93936
351,14749,Res,Resident/Fellow/PA/NP,93937
352,14750,Res,Resident/Fellow/PA/NP,93938
353,14751,RN,RN,93939
354,14752,MD,Resident/Fellow/PA/NP,93940
355,14753,RO,Read Only,93941
356,14754,RO,Read Only,93942
755,14755,RO,Read Only,93943
756,14756,RO,Read Only,93944
757,14757,RN,RN,93945
758,14758,RN,RN,93946
759,14759,RN,RN,93947
760,14760,Rehab,Rehabilitation,93948
761,14761,Res,Resident/Fellow/PA/NP,93949
762,14762,RN,,93950
763,14763,RN,RN,93951
764,14764,RD,Dietitian,93952
765,14765,Res,Resident/Fellow/PA/NP,93953
766,14766,Res,Resident/Fellow/PA/NP,93954
767,14767,Res,Resident/Fellow/PA/NP,93955
768,14768,RN,RN,93956
769,14769,Res,Resident/Fellow/PA/NP,93957
770,14770,MD,Resident/Fellow/PA/NP,93958
771,14771,CoOPSt,,93959
772,14772,RN,RN,93960
773,14773,NEOB,,93961
774,14774,RN,,93962
775,14775,Res,Resident/Fellow/PA/NP,93963
776,14776,PCT,PCT/NA,93964
777,14777,MD,Attending,93965
778,14778,Res,Resident/Fellow/PA/NP,93966
779,14779,SW,Social Worker,93967
780,14780,MedStu,,93968
781,14781,MD,Attending,93969
782,14782,Res,Resident/Fellow/PA/NP,93970
783,14783,Rehab,Rehabilitation,93971
784,14784,RN,RN,93972
785,14785,Res,Resident/Fellow/PA/NP,93973
786,14786,MD,,93974
787,14787,RN,RN,93975
788,14788,Res,Resident/Fellow/PA/NP,93976
789,14789,Rehab,Rehabilitation,93977
790,14790,Res,Resident/Fellow/PA/NP,93978
791,14791,RO,Read Only,93979
792,14792,PCT,PCT/NA,93980
793,14793,RO,Read Only,93981
794,14794,MD,Resident/Fellow/PA/NP,93982
795,14795,RO,Read Only,93983
796,14796,RO,Read Only,93984
797,14797,MD,,93985
798,14798,RPH,Pharmacist,93986
799,14799,RA,Research Assistant,93987
800,14800,MedStu,,93988
801,14801,RN,RN,93989
802,14802,RN,RN,93990
803,14803,Rehab,Rehabilitation,93991
804,14804,RN,RN,93992
805,14805,Res,Resident/Fellow/PA/NP,93993
806,14806,RO,Read Only,93994
807,14807,MD,,93995
808,14808,RO,Read Only,93996
809,14809,RRT,,93997
810,14810,RO,Read Only,93998
811,14811,RN,RN,93999
812,14812,Res,Resident/Fellow/PA/NP,94000
813,14813,RO,Read Only,94001
814,14814,RO,Read Only,94002
815,14815,RRT,Read Only,94003
816,14816,RNC,,94004
817,14817,RN,Read Only,94005
818,14818,RN,,94006
819,14819,RPh,,94007
820,14820,MS,,94008
821,14821,PT,,94009
822,14822,MD,,94010
823,14823,MD,,94011
824,14824,Rehab,Rehabilitation,94012
825,14825,RO,Read Only,94013
826,14826,MD,,94014
827,14827,MD,,94015
828,14828,RN,Read Only,94016
829,14829,MDs,Read Only,94017
830,14830,RO,Read Only,94018
831,14831,Admin,Administrator,94019
