row_id,icd9_code,short_title,long_title,mimic_id
264,0851,Canthotomy,Canthotomy,2001014567
265,0852,Blepharorrhaphy,Blepharorrhaphy,2001014568
266,0859,Adjust lid position NEC,Other adjustment of lid position,2001014569
267,0861,Lid reconst w skin graft,Reconstruction of eyelid with skin flap or graft,2001014570
268,0862,Lid reconst w muc graft,Reconstruction of eyelid with mucous membrane flap or graft,2001014571
269,0863,Lid reconst w hair graft,Reconstruction of eyelid with hair follicle graft,2001014572
270,0864,Lid recon-tarsoconj flap,Reconstruction of eyelid with tarsoconjunctival flap,2001014573
271,0869,Lid reconstr w graft NEC,Other reconstruction of eyelid with flaps or grafts,2001014574
272,0870,Lid reconstruction NOS,"Reconstruction of eyelid, not otherwise specified",2001014575
273,0871,Lid marg recon-part thic,"Reconstruction of eyelid involving lid margin, partial-thickness",2001014576
274,0872,Lid recons-part thic NEC,"Other reconstruction of eyelid, partial-thickness",2001014577
275,0873,Lid marg recons ful thic,"Reconstruction of eyelid involving lid margin, full-thickness",2001014578
276,0874,Lid reconst-ful thic NEC,"Other reconstruction of eyelid, full-thickness",2001014579
277,0881,Linear rep lid lacer,Linear repair of laceration of eyelid or eyebrow,2001014580
278,0882,Lid marg lac rx-part th,"Repair of laceration involving lid margin, partial-thickness",2001014581
279,0883,Lid lacer rx-prt th NEC,"Other repair of laceration of eyelid, partial-thickness",2001014582
280,0884,Lid marg lac rx-ful thic,"Repair of laceration involving lid margin, full-thickness",2001014583
281,0885,Lid lac rx-ful thic NEC,"Other repair of laceration of eyelid, full-thickness",2001014584
282,0886,Lower lid rhytidectomy,Lower eyelid rhytidectomy,2001014585
283,0887,Upper lid rhytidectomy,Upper eyelid rhytidectomy,2001014586
284,0889,Eyelid repair NEC,Other eyelid repair,2001014587
285,0891,Electrosurg lid epilat,Electrosurgical epilation of eyelid,2001014588
286,0892,Cryosurg lid epilation,Cryosurgical epilation of eyelid,2001014589
287,0893,Eyelid epilation NEC,Other epilation of eyelid,2001014590
288,0899,Eyelid operation NEC,Other operations on eyelids,2001014591
289,090,Lacrimal gland incision,Incision of lacrimal gland,2001014592
290,0911,Lacrimal gland biopsy,Biopsy of lacrimal gland,2001014593
291,0912,Lacrimal sac biopsy,Biopsy of lacrimal sac,2001014594
292,0919,Lacrimal sys dx proc NEC,Other diagnostic procedures on lacrimal system,2001014595
293,0920,Exc lacrimal gland NOS,"Excision of lacrimal gland, not otherwise specified",2001014596
294,0921,Excis les lacrimal gland,Excision of lesion of lacrimal gland,2001014597
295,0922,Part dacryoadenect NEC,Other partial dacryoadenectomy,2001014598
296,0923,Total dacryoadenectomy,Total dacryoadenectomy,2001014599
297,093,Other lacrimal gland ops,Other operations on lacrimal gland,2001014600
