row_id,itemid,label,abbreviation,dbsource,linksto,category,unitname,param_type,conceptid,mimic_id
457,497,Patient controlled analgesia (PCA) [Inject],,carevue,chartevents,,,,,2001018449
458,498,PCA Lockout (Min),,carevue,chartevents,,,,,2001018450
459,499,PCA Medication,,carevue,chartevents,,,,,2001018451
460,500,PCA Total Dose,,carevue,chartevents,,,,,2001018452
461,501,PCV Exh Vt (Obser),,carevue,chartevents,,,,,2001018453
1157,927,Allergy 2,,carevue,chartevents,,,,,2001018454
1158,930,Ext,,carevue,chartevents,,,,,2001018455
1159,935,Allergy 3,,carevue,chartevents,,,,,2001018456
1160,938,blood cultures,,carevue,chartevents,,,,,2001018457
1161,940,trach care,,carevue,chartevents,,,,,2001018458
1162,941,urine culture,,carevue,chartevents,,,,,2001018459
1163,942,BLOOD CULTURES,,carevue,chartevents,,,,,2001018460
1164,944,Chest PT,,carevue,chartevents,,,,,2001018461
1165,946,STV,,carevue,chartevents,,,,,2001018462
1166,956,CPT,,carevue,chartevents,,,,,2001018463
1167,964,THAM CC/HR,,carevue,chartevents,,,,,2001018464
1168,968,EKG,,carevue,chartevents,,,,,2001018465
1169,970,TRACH CARE,,carevue,chartevents,,,,,2001018466
1170,972,passy muir valve,,carevue,chartevents,,,,,2001018467
1171,977,TRACHE CARE,,carevue,chartevents,,,,,2001018468
1172,981,dilaudid,,carevue,chartevents,,,,,2001018469
1173,983,LEECH THERAPY,,carevue,chartevents,,,,,2001018470
1174,986,ABG Hct,,carevue,chartevents,,,,,2001018471
1175,987,Clot to Blood Bank,,carevue,chartevents,,,,,2001018472
1176,993,bladder pressure,,carevue,chartevents,,,,,2001018473
1177,996,BLADDER PRESSURE,,carevue,chartevents,,,,,2001018474
1178,1000,cisatricurium,,carevue,chartevents,,,,,2001018475
1179,1001,rotation,,carevue,chartevents,,,,,2001018476
1180,1003,cuff pressure,,carevue,chartevents,,,,,2001018477
1181,1010,High exhaled min vol,,carevue,chartevents,,,,,2001018478
1182,1011,urine osmolarity,,carevue,chartevents,,,,,2001018479
1183,1015,PASSY MUIR VALVE,,carevue,chartevents,,,,,2001018480
1184,1019,THIGH HI TEDS,,carevue,chartevents,,,,,2001018481
1185,1022,Trach care,,carevue,chartevents,,,,,2001018482
1186,1023,cisatra mcg/kg/min,,carevue,chartevents,,,,,2001018483
1187,1027,abdominal binder,,carevue,chartevents,,,,,2001018484
1188,1028,Cisatracurium,,carevue,chartevents,,,,,2001018485
1189,1029,INCENTIVE SPIROMETER,,carevue,chartevents,,,,,2001018486
1190,1032,Hi/minute/vol/alarm,,carevue,chartevents,,,,,2001018487
1191,1034,RA SAT,,carevue,chartevents,,,,,2001018488
1192,1035,WEDGE SAT,,carevue,chartevents,,,,,2001018489
1193,1036,protonics,,carevue,chartevents,,,,,2001018490
1194,1037,O2 %,,carevue,chartevents,,,,,2001018491
1195,1038,Hi/minute/vols alarm,,carevue,chartevents,,,,,2001018492
